Question,Answer,Answer is movie,Replace
What is the full name of the character whose dying word was “Rosebud”?,Charles Foster Kane,0,
Who played Mrs.\ Robinson in \emph{The Graduate}?,Anne Bancroft,0,
What was the first feature-length animated movie ever released?,Snow White and the Seven Dwarfs,1,
"In \emph{The Matrix}, what color pill does Neo take?",Red,0,
For what movie did Tom Hanks score his first Academy Award nomination?,Big,1,
"Who played the ""unsinkable"" Molly Brown in \emph{The Unsinkable Molly Brown}?",Debbie Reynolds,0,
What’s the name of the skyscraper in \emph{Die Hard}?,Nakatomi Plaza,0,
What flavor of Pop Tarts does Buddy the Elf use in his spaghetti in \emph{Elf}?,Chocolate,0,
"What shocking Wes Craven horror movie carried the marketing tagline, “To avoid fainting, keep repeating, ‘It’s only a movie\(\ldots\)'{}”?",The Last House on the Left,1,
What pop vocal group performs at the wedding in Bridesmaids?,Wilson Phillips,0,
What real-life couple starred in the film \emph{Who’s Afraid of Virginia Woolf}?,Elizabeth Taylor and Richard Burton,0,
What American writer/director starred in several iconic European-produced “Spaghetti Westerns”?,Clint Eastwood,0,
Who played Juror Number 8 in \emph{12 Angry Men}?,Henry Fonda,0,
The head of what kind of animal turns up in a bed in an infamous scene from \emph{The Godfather}?,A horse,0,
What TV show was Jack Nicholson referencing when he ad-libbed “Here’s Johnny!” in The Shining?,The Tonight Show Starring Johnny Carson,,1
What critically panned 1984 country-musical comedy starring Dolly Parton and Sylvester Stallone eventually became a cult classic?,Rhinestone,1,
Who played park owner John Hammond in \emph{Jurassic Park}?,Richard Attenborough,0,
In what 1976 thriller does Robert De Niro famously say “You talkin’ to me?”,Taxi Driver,1,
What’s the name of the anthemic dance near the beginning of \emph{The Rocky Horror Picture Show}?,“The Time Warp”,0,
For what movie did Steven Spielberg win his first Oscar for Best Director?,Schindler’s List,1,
What is the name of the courtesan played by Nicole Kidman in \emph{Moulin Rouge}?,Satine,0,
"In what 1950 drama does Bette Davis say, “Fasten your seatbelts; it’s going to be a bumpy night”?",All About Eve,1,
The theme from \emph{The Third Man} (also called “The Harry Lime Theme”) was performed on what instrument?,Zither,0,
