Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
What city had the world's first subway?  ,"London (its Metropolitan Railway, founded in 1863, was the precursor to the Underground)",Transportation,Transportation,,metrorailway.jpg,,
What were the names of the three ships sailed by Christopher Columbus and his crew on their 1492 voyage to the New World? (We need all three.),"The \emph{Ni{\~n}a} (whose official name was \emph{Santa Clara}), the \emph{Pinta}, and the \emph{Santa Maria}",Transportation,Transportation,,colombus.jpg,,
"First flown in 1783, what kind of vehicle was the first to achieve sustained flight while carrying a person?",A hot air balloon,Transportation,Transportation,,hotair.jpg,,
The English name of what kind of boat comes from the Tamil word for “logs bound together”?,Catamaran,Transportation,Transportation,,catamaran.jpg,,
Which aircraft did Congress temporarily ban from landing in the U.S. due to concerns over the sonic booms it produced?,The Concorde,Transportation,Transportation,,concorde.jpeg,,
"What is the name for the specific type of early bicycle pictured here, with one large wheel in the front and one much smaller wheel in the back?","Penny-farthing, high-wheeler, or “ordinary”",Transportation,Transportation,pennyfarthing.jpg,,,
What is the term for the distance between the rails of a railroad track?,Gauge / gage,Transportation,Transportation,,gauge.png,,
What is the name of the rocket that delivered the astronauts of the Apollo 11 program into outer space and which to this day remains the only launch vehicle to have carried humans beyond low Earth orbit?,Saturn V,Transportation,Transportation,,saturnV.jpg,,
Who is the U.S. secretary of transportation under President Biden?,Pete Buttigieg,Transportation,Transportation,,pete.jpg,,
"The word “cab”, as in taxi-cab and hansom cab, is short for the name of what type of horse-drawn vehicle?",A cabriolet (a two-wheeled horse-drawn carriage with a folding roof),Transportation,Transportation,,cab.jpg,,
The Transcontinental Railroad connected the U.S.’s existing eastern rail network to the West Coast. In which two U.S. states were the Railroad’s terminal stations located?,"California, and either Nebraska or Iowa (the Railroad’s eastern terminus fell right on the border)",Bonus,Transportation,,transcontinental.png,,
Who is currently slated to replace Andrew Jackson on the U.S. \$20 bill?,Harriet Tubman,World Currencies,World Currencies,,tubman.jpg,,
"One one-hundredth of which currency is called a \emph{Rappen} in German, a \emph{centime} in French, a \emph{centesimo} in Italian, and a \emph{rap} in Romansch?",The (Swiss) franc,World Currencies,World Currencies,,franc.jpg,,
"Which country calls their currency’s one- and two-dollar coins the “Loonie” and the “Toonie”, respectively?",Canada,World Currencies,World Currencies,,loonietoonie.jpeg,,
Which currency’s three-letter code is MXN? (We need the country and the name of the currency.),The Mexican peso,World Currencies,World Currencies,,peso.jpg,,
"What is the name of the currency that became widespread in early Islamic nations and is still used in several countries, including Algeria, Iraq, and Tunisia?",The dinar,World Currencies,World Currencies,,dinar.jpg,,
What is the world’s oldest currency still in use?,The British pound / pound sterling / GBP,World Currencies,World Currencies,,pound.jpg,,
"Which country’s currency was unpegged from the U.S. dollar in 2005, prior to which it had been fixed to trade at a ratio of 8.27:\$1?",China,World Currencies,World Currencies,,rmb.jpg,,
Which currency's symbol is pictured here? (We need the country and the name of the currency.),The Indian rupee,World Currencies,World Currencies,rupee.png,,,
"What is the name of the smallest unit of Bitcoin, which is worth one 100-millionth of a bitcoin?",A Satoshi,World Currencies,World Currencies,,btc.jpg,,
What is the official currency of both Ecuador and El Salvador?,The U.S. dollar,World Currencies,World Currencies,,usd.jpg,,
"In the world of currencies, what does the word \emph{seignorage} refer to?","The difference between money’s nominal value and the cost to produce it / A government’s profit when it issues currency / “Inflation tax” (One notable example is that a U.S. penny contains more than one cent of copper, so it has negative seignorage.)",Bonus,World Currencies,,,,
"The 2002 biographical film \emph{Catch Me If You Can} was about which real-life conman who committed check fraud and impersonated a pilot, a doctor, and a lawyer before being arrested at the age of 21?",Frank Abagnale Jr. (without the “Jr.” is fine),"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,abagnale.jpeg,,
The professional baseball player pictured here was the mastermind of what game-fixing scandal in Major League Baseball?,The Black Sox Scandal,"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",whitesox.jpg,,,
"Which alleged fraudster, whose trial on charges of wire fraud and conspiracy to commit wire fraud is set to begin in July of this year, is the subject of the book \emph{Bad Blood}?",Elizabeth Holmes,"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,holmes.jpg,,
George C. Parker became known for the phrase “I have a bridge to sell you” thanks to his repeated success in fraudulently selling which New York City landmark to unwitting buyers?,The Brooklyn Bridge,"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,bridge.jpg,,
"In 1973, which illusionist and self-proclaimed psychic appeared on \emph{The Tonight Show}, but was unable to reproduce his effects because Johnny Carson had replaced his magic props with fakes?",Uri Geller,"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,geller.jpg,,
"From start to finish, Charles Ponzi’s eponymous scheme only lasted about seven months. To within five years, in what year did it take place?",1920 (1915-.-1925 will be accepted),"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,ponzi.jpg,,
"Which NFL player orchestrated the “Deflategate” incident, in which he had his team’s footballs deflated below regulation pressure?",Tom Brady,"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,brady.jpg,,
"Which televangelist built Heritage USA, a Christian-themed amusement park, and was subsequently convicted of financial fraud for selling more memberships to the amusement park than there was capacity for?",Jim Bakker,"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,bakker.jpg,,
The Houston Astros cheated during the 2017 and 2018 baseball seasons by performing what illegal action with the help of cameras and other technology?,Stealing signs / sign stealing (which is allowed in the MLB as long as you do not use technology to do it),"Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,astros.jpg,,
What was the title of the fictional musical in Mel Brooks’s \emph{The Producers} that was designed to flop so that its producers could pocket all of the money invested into it?,"\emph{Springtime for Hitler: A Gay Romp With Adolf and Eva at Berchtesgaden}, or \emph{Springtime for Hitler} for short","Swindlers, Frauds, and Cheats","Swindlers, Frauds, and Cheats",,producers.jpg,,
"Long before his infamous fraud, Bernie Madoff’s securities company developed innovative technology to disseminate stock quotes electronically -.-.- technology that would later form the basis of what computerized trading system?",NASDAQ,Bonus,"Swindlers, Frauds, and Cheats",,madoff.jpeg,,
In what state was Mark Twain born?,Missouri ,Mark Twain,Mark Twain,,floridamo.jpg,,
What was Mark Twain's birth name? (We need his middle name too. Spelling won’t count.),Samuel Langhorne Clemens,Mark Twain,Mark Twain,,,,
What Mark Twain novel featured a time-traveler?,A Connecticut Yankee in King Arthur’s Court ,Mark Twain,Mark Twain,,connyank.jpg,,
"In later life, what color suit did Mark Twain famously wear?",White,Mark Twain,Mark Twain,,twainwhite.jpg,,
"On December 17, 1877, Twain attended a Boston dinner in honor of the poet John Greenleaf Whittier. In attendance, among other notables, were Emerson, Holmes and Longfellow.  Twain did something that night that he regretted for the rest of his life. What did he do? ","He made a speech in which he “roasted” Emerson, Holmes and Longfellow. The speech was universally criticized and Twain felt compelled to write an abject apology to the three men. ",Mark Twain,Mark Twain,,twainroast.jpg,,
What was Mark Twain's best selling novel during his lifetime?,\emph{The Innocents Abroad} / \emph{The New Pilgrims’ Progress},Mark Twain,Mark Twain,,innocentsabroad.jpg,,
"Before he became a literary figure, Twain had another occupation in which he wrote a lot.  What was it?",Reporter,Mark Twain,Mark Twain,,twainyoung.png,,
"What deeply biting and sarcastic collection of Twain essays was not published until 1939, long after Twain's death?",Letters from the Earth,Mark Twain,Mark Twain,,twainletters.jpeg,,
"Within five years either way, when was Twain born and when did he die?",Born 1835 (we'll accept 1830-.-1940); died 1910 (we'll accept 1905-.-1915).,Mark Twain,Mark Twain,,twainfuneral.jpg,,
"Twain had a friendship with another famous figure who said of Twain, ""He treated me like a competent human being, That's why I loved him."" Twain said of this friend, ""I am filled with the wonder of [my friend's] knowledge, acquired because shut out from all distractions.”",Helen Keller,Mark Twain,Mark Twain,,keller.jpg,,
What did the term “mark twain” -.-.- the term from which Mark Twain took his pen name -.-.- mean on a Mississippi riverboat?,Two fathoms of depth (we will accept “a measure of depth”),Bonus,Mark Twain,,twofathoms.jpeg,,
"Who designed the Kennedy Center in Washington, DC, and was one of the designers of Radio City Music Hall?",Edward Durrell Stone,Architects and Architecture,Architects and Architecture,,kennedy.jpg,,
Which architectural firm designed the Empire State Building?,"Shreve, Lamb & Harmon",Architects and Architecture,Architects and Architecture,,empirestatebuilding.jpg,,
"What is the name of the futuristic, Jetsons-like architectural style that originated in Southern California and which was popular from around 1945 until the early 1970s?",Googie,Architects and Architecture,Architects and Architecture,,norms.jpg,,
Who designed the glass house known as the Farnsworth House?,Mies van der Rohe,Architects and Architecture,Architects and Architecture,,farnsworth.jpg,,
Who designed the house portrayed on the tails side of the nickel?,Thomas Jefferson ,Architects and Architecture,Architects and Architecture,,penny.jpg,,
"Who designed St. Peter’s Square, including its famous colonnades?",Gian Lorenzo Bernini,Architects and Architecture,Architects and Architecture,,stpeters.jpg,,
What architectural duo designed Central Park in Manhattan and Prospect Park in Brooklyn (including both the landscaping and the buildings)? ,Frederick Law Olmsted and Calvert Vaux,Architects and Architecture,Architects and Architecture,,centralpark.jpg,,
Which famous architect was murdered by his mistress’ husband at the original Madison Square Garden?,Stanford White ,Architects and Architecture,Architects and Architecture,,stanfordwhite.jpg,,
Who designed the Guggenheim Museum in New York City?,Frank Lloyd Wright,Architects and Architecture,Architects and Architecture,,guggenheim.jpg,,
